timestamp,gpu_mem_used_mb,gpu_mem_total_mb,gpu_util_pct,gpu_temp_c,gpu_power_w,kv_cache_pct,requests_running,requests_waiting,gen_tokens_total,prompt_tokens_total,preemptions,prefix_cache_hit_rate,ttft_avg_ms,itl_avg_ms,e2e_avg_ms
2026-03-11T14:07:21.220164,89713.0,97887.0,0.0,42.0,54.17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:07:23.287666,89713.0,97887.0,0.0,42.0,14.49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:07:25.332517,89713.0,97887.0,0.0,42.0,9.27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:07:27.363959,89713.0,97887.0,0.0,42.0,9.04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:07:29.469600,89713.0,97887.0,0.0,42.0,9.11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:07:31.543633,89713.0,97887.0,0.0,41.0,8.74,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:07:33.663296,89713.0,97887.0,0.0,41.0,8.16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:07:35.696392,89713.0,97887.0,0.0,41.0,8.57,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:07:37.729287,89713.0,97887.0,0.0,41.0,8.76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:07:39.763898,89713.0,97887.0,0.0,41.0,8.58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:07:41.795832,89713.0,97887.0,0.0,41.0,9.06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:07:43.832049,89713.0,97887.0,0.0,41.0,8.46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:07:45.866274,89713.0,97887.0,0.0,41.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:07:47.901169,89713.0,97887.0,0.0,41.0,8.11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:07:49.933144,89713.0,97887.0,0.0,41.0,8.39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:07:51.968904,89713.0,97887.0,0.0,41.0,8.19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:07:54.002822,89713.0,97887.0,0.0,41.0,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:07:56.039046,89713.0,97887.0,0.0,41.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:07:58.069983,89713.0,97887.0,0.0,40.0,8.12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:08:00.101348,89713.0,97887.0,0.0,40.0,7.92,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:08:02.137820,89713.0,97887.0,0.0,40.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:08:04.177427,89713.0,97887.0,0.0,40.0,8.06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:08:06.212502,89713.0,97887.0,0.0,40.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:08:08.244176,89713.0,97887.0,0.0,40.0,8.04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:08:10.280912,89713.0,97887.0,0.0,40.0,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:08:12.317554,89713.0,97887.0,0.0,40.0,8.63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:08:14.355552,89713.0,97887.0,0.0,40.0,8.24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:08:16.394488,89713.0,97887.0,0.0,40.0,8.19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:08:18.431121,89713.0,97887.0,0.0,40.0,8.23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:08:20.472145,89713.0,97887.0,0.0,40.0,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:08:22.504554,89713.0,97887.0,0.0,40.0,8.43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:08:24.536799,89713.0,97887.0,0.0,40.0,8.17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:08:26.566910,89713.0,97887.0,0.0,40.0,8.07,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:08:28.599430,89713.0,97887.0,0.0,40.0,8.24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:08:30.637276,89713.0,97887.0,0.0,40.0,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-03-11T14:08:32.674393,89713.0,97887.0,0.0,40.0,8.77,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
